ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647,0,28,-0.78125,0,101,63.137,49.804,16.078,31.765,19.608,0,100,0,28,5,70.7,34.4,12.363,0,0,6275,0,234
0,0,0,17.647,0,28,-0.78125,0,101,63.137,49.804,16.078,31.765,19.608,0,100,0,28,5,70.7,34.4,12.363,0,0,6275,0,234
0,0,0,17.647,0,28,-0.78125,0,101,63.137,49.804,16.078,31.765,19.608,0,100,0,28,5,70.7,34.4,12.363,0,0,6275,0,234
0,0,0,17.647,0,28,-0.78125,0,101,63.137,49.804,16.078,31.765,19.608,0,100,0,28,5,70.7,34.4,12.363,0,0,6275,0,234
0,0,0,17.647,0,28,-0.78125,0,101,63.137,51.765,16.078,31.765,19.216,0,100,0.39216,28,5,70.7,34.4,10.976,0,0,6275,0,234
0,0,0,17.647,0,28,-0.78125,0,101,63.137,51.765,16.078,31.765,19.216,0,100,0.39216,28,5,70.7,34.4,10.976,0,0,6275,0,234
1,1391.2,0,20.392,27.843,28,4.6875,0,32,63.137,51.765,16.078,31.765,19.216,0,100,0.39216,28,16,70.7,34.4,10.976,0,0,6275,0,234
1,1391.2,0,20.392,27.843,28,4.6875,0,32,63.137,51.765,16.078,31.765,19.216,0,100,0.39216,28,16,70.7,34.4,10.976,0,0,6275,0,234
1,1391.2,0,20.392,27.843,28,4.6875,0,32,63.137,52.941,16.078,31.765,20.392,0,100,1.1765,28,16,70.7,34.4,11.777,0,0,6275,0,234
1,1391.2,0,20.392,30.588,28,4.6875,0,31,63.137,52.941,16.078,31.765,20.392,0,100,1.1765,28,16,70.7,34.4,11.777,0,0,6275,0,234
