ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647,0,23,0,0,101,25.882,49.804,16.078,31.765,13.333,0,102,0,27,5,485,356.4,12.46,0,0,6747,0,255
0,0,0,17.647,0,23,0,0,101,25.882,49.804,16.078,31.765,13.333,0,102,0,27,5,485,356.4,12.46,0,0,6747,0,255
0,0,0,17.647,0,23,0,0,101,25.882,49.804,16.078,31.765,13.333,0,102,0,27,5,485,356.4,12.46,0,0,6747,0,255
0,0,0,13.333,0,23,0,0,93,25.882,49.804,16.078,31.765,13.333,0,102,0,27,5,485,356.4,12.46,0,0,6747,0,255
0,0,0,13.333,0,23,0,0,93,25.882,49.804,16.078,31.765,13.333,0,102,0,27,5,485,356.4,12.46,0,0,6747,0,255
0,0,0,13.333,0,23,0,0,93,25.882,52.157,16.078,31.765,20,0,100,0.78431,27,5,485,356.4,11.777,0,0,6747,0,255
0,0,0,13.333,0,23,0,0,93,25.882,52.157,16.078,31.765,20,0,100,0.78431,27,5,485,356.4,11.777,0,0,6747,0,255
0,1842,0,20,25.098,23,5.4688,0,24,25.882,52.157,16.078,31.765,20,0,100,0.78431,26,24,485,356.4,11.777,0,0,6747,0,255
1,1842,0,20,25.098,23,5.4688,0,24,25.882,52.157,16.078,31.765,20,0,100,0.78431,26,24,485,356.4,11.777,0,0,6747,0,255
1,1842,0,20,25.098,23,5.4688,0,24,25.882,52.157,16.078,31.765,20,0,100,0.78431,26,24,485,356.4,12.07,0,0,6747,0,255
1,1842,0,20,23.529,23,5.4688,0,24,25.882,52.157,16.078,31.765,20,0,100,0.78431,26,24,485,356.4,12.07,0,0,6747,0,255
3,1871.8,0,20,23.529,23,5.4688,0,23,25.882,52.157,16.078,31.765,20,0,100,0.78431,27,24,485,356.4,12.07,0,0,6747,0,255
