ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647,0,26,-1.5625,0,101,55.686,49.804,16.078,31.765,13.333,0,101,0,28,5,503.4,371.4,12.441,0,0,6366,0,237
0,0,0,17.647,0,26,-1.5625,0,101,55.686,49.804,16.078,31.765,13.333,0,101,0,28,5,503.4,371.4,12.441,0,0,6366,0,237
0,0,0,17.647,0,26,-1.5625,0,101,55.686,49.804,16.078,31.765,13.333,0,101,0,28,5,503.4,371.4,12.441,0,0,6366,0,237
0,0,0,17.647,0,26,-1.5625,0,101,55.686,49.804,16.078,31.765,13.333,0,101,0,28,5,503.4,371.4,12.441,0,0,6366,0,237
0,0,0,17.647,0,26,-1.5625,0,101,55.686,49.804,16.078,31.765,13.333,0,101,0,28,5,503.4,371.4,12.441,0,0,6366,0,237
0,0,0,17.647,0,26,-1.5625,0,101,55.686,49.804,16.078,31.765,13.333,0,100,0,28,5,503.4,371.4,12.441,0,0,6366,0,237
0,0,0,17.647,0,26,-1.5625,0,101,55.686,51.765,16.078,31.765,19.608,0,100,0.39216,28,5,503.4,371.4,12.07,0,0,6366,0,237
0,0,0,17.647,23.922,26,4.6875,0,101,55.686,51.765,16.078,31.765,19.608,0,100,0.39216,28,5,503.4,371.4,12.07,0,0,6366,0,237
3,1698.2,0,19.608,23.922,26,4.6875,0,24,55.686,51.765,16.078,31.765,19.608,0,100,0.39216,28,17,503.4,371.4,12.07,0,0,6366,0,237
3,1698.2,0,19.608,23.922,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.608,0,100,0.39216,28,17,31.6,29,13.281,0,0,6366,0,237
3,1698.2,0,19.608,23.922,26,4.6875,0,24,56.078,52.157,16.078,31.765,19.608,0,100,0.39216,28,17,31.6,29,13.281,0,0,6366,0,237
3,1621,0,19.608,24.706,26,4.6875,0,24,56.078,52.157,16.078,31.765,19.608,0,100,0.39216,28,22,31.6,29,13.281,0,0,6366,0,237
4,1621,0,19.608,24.706,26,4.6875,0,24,56.078,52.157,16.078,31.765,19.608,0,100,0.39216,28,22,31.6,29,13.281,0,0,6366,0,237
4,1621,0,19.608,24.706,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.608,0,100,0.39216,28,22,36.8,29,14.277,0,0,6366,0,237
4,1621,0,19.608,24.706,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.608,0,100,0.39216,28,22,36.8,29,14.277,0,0,6366,0,237
4,1548.2,0,19.608,24.706,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.608,0,100,0.39216,28,16,36.8,29,14.277,0,0,6366,0,237
6,1548.2,0,19.608,24.706,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.608,0,100,0.39216,28,16,36.8,29,14.277,0,0,6366,0,237
6,1548.2,0,19.608,24.706,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.216,0,100,0.39216,28,16,40,29,14.277,0,0,6366,0,237
6,1548.2,0,19.608,25.098,26,4.6875,0,24,56.078,51.765,16.078,31.765,19.216,0,100,0.39216,28,16,40,29,14.277,0,0,6366,0,237
8,1479.5,0,19.216,25.098,26,4.6875,0,25,56.078,51.765,16.078,31.765,19.216,0,100,0.39216,28,13,40,29,14.277,0,0,6366,0,237
8,1479.5,0,19.216,25.098,27,4.6875,0,25,56.471,51.765,16.078,31.765,19.216,0,100,0.39216,28,13,47.4,29,14.277,0,0,6366,0,237
8,1479.5,0,19.216,25.098,27,4.6875,0,25,56.471,51.765,16.078,31.765,19.216,0,100,0,28,13,47.4,29,14.277,0,0,6366,0,237
8,1479.5,0,19.216,26.667,27,4.6875,0,25,56.471,51.765,16.078,31.765,19.216,0,100,0,28,13,47.4,29,14.277,0,0,6366,0,237
10,1412.5,0,19.608,26.667,27,4.6875,0,26,56.471,51.765,16.078,31.765,19.216,0,100,0,28,9,47.4,29,14.277,0,0,6366,0,237
10,1412.5,0,19.608,26.667,27,4.6875,0,26,56.863,51.765,16.078,31.765,19.216,0,100,0,28,9,55.5,29.1,14.277,0,0,6366,0,237
10,1412.5,0,19.608,26.667,27,4.6875,0,26,56.863,52.157,16.078,31.765,19.608,0,100,0.39216,28,9,55.5,29.1,14.277,0,0,6366,0,237
10,1401.5,0,19.608,28.627,27,4.6875,0,28,56.863,52.157,16.078,31.765,19.608,0,100,0.39216,28,4,55.5,29.1,14.277,0,0,6366,0,237
12,1401.5,0,19.608,28.627,27,4.6875,0,28,56.863,52.157,16.078,31.765,19.608,0,100,0.39216,29,4,55.5,29.1,14.277,0,0,6366,0,237
12,1401.5,0,19.608,28.627,27,4.6875,0,28,56.471,52.549,16.078,31.765,19.608,0,100,0.78431,29,4,64.6,29.1,14.238,0,0,6366,0,237
12,1401.5,0,19.608,28.627,27,4.6875,0,28,56.471,52.549,16.078,31.765,20,0,100,0.78431,29,4,64.6,29.1,14.238,0,0,6366,0,237
12,1147.5,0,20,37.255,27,3.125,0,39,56.471,52.549,16.078,31.765,20,0,100,0.78431,29,6,64.6,29.1,14.238,0,0,6366,0,237
14,1147.5,0,20,37.255,28,3.125,0,39,56.471,52.549,16.078,31.765,20,0,100,0.78431,29,6,64.6,29.1,14.238,0,0,6366,0,237
14,1147.5,0,20,37.255,28,3.125,0,39,56.471,52.549,16.078,31.765,20.392,0,100,1.1765,29,6,74.8,29.2,14.218,0,0,6366,0,237
14,1147.5,0,20,38.824,28,3.125,0,39,56.471,52.549,16.078,31.765,20.392,0,100,1.1765,29,6,74.8,29.2,14.218,0,0,6366,0,237
15,1175,0,20.392,38.824,28,2.3438,0,38,56.471,52.549,16.078,31.765,20.392,0,100,1.1765,29,0,74.8,29.2,14.218,0,0,6366,0,237
15,1175,0,20.392,38.824,28,2.3438,0,38,55.686,52.549,16.078,31.765,20.392,0,100,1.1765,29,0,80.3,29.3,14.218,0,0,6366,0,237
15,1175,0,20.392,38.824,28,2.3438,0,38,55.686,52.941,16.078,31.765,20.392,0,100,1.1765,29,0,80.3,29.3,14.257,0,0,6366,0,237
15,1129.5,6,20.392,37.647,28,3.125,0,38,55.686,52.941,16.078,31.765,20.392,0,100,1.1765,29,5,80.3,29.3,14.257,0,0,6366,0,237
17,1129.5,6,20,37.647,29,3.125,0,38,55.686,52.941,16.078,31.765,20.392,0,100,1.1765,29,5,80.3,29.3,14.257,0,0,6366,0,237
17,1129.5,6,20,37.647,29,3.125,0,38,51.765,52.157,16.078,31.765,20.392,0,100,0.78431,29,5,91.8,29.6,14.257,0,0,6366,0,237
17,1129.5,6,20,37.647,29,3.125,0,38,51.765,52.157,16.078,31.765,20,0,100,0.78431,29,5,91.8,29.6,14.257,0,0,6366,0,237
17,1129.5,6,20,38.039,29,3.125,0,38,51.765,52.157,16.078,31.765,20,0,100,0.78431,29,5,91.8,29.6,14.257,0,0,6366,0,237
