ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647,0,24,0,0,101,24.314,49.804,16.078,31.765,19.608,0,100,0,31,5,35.7,33.4,12.519,0,0,6786,0,255
0,0,0,17.647,0,24,0,0,101,24.314,49.804,16.078,31.765,19.608,0,100,0,31,5,35.7,33.4,12.539,0,0,6786,0,255
0,0,0,17.647,0,24,0,0,101,24.314,49.804,16.078,31.765,19.608,0,100,0,31,5,35.7,33.4,12.539,0,0,6786,0,255
0,0,0,17.647,0,24,0,0,101,24.314,49.804,16.078,31.765,19.608,0,100,0,31,5,35.7,33.4,12.539,0,0,6786,0,255
0,0,0,17.647,0,24,0,0,101,24.314,49.804,16.078,31.765,19.608,0,100,0,31,5,35.7,33.4,12.539,0,0,6786,0,255
0,0,0,17.647,0,24,0,0,101,24.314,52.157,16.078,31.765,19.608,0,100,0.39216,31,5,35.7,33.4,12.402,0,0,6786,0,255
0,1128,0,17.647,91.765,24,0,0,66,24.314,52.157,16.078,31.765,19.608,0,100,0.39216,31,8,35.7,33.4,12.402,0,0,6786,0,255
0,1128,0,19.608,91.765,24,0,0,66,24.314,52.157,16.078,31.765,19.608,0,100,0.39216,31,8,35.7,33.4,12.402,0,0,6786,0,255
0,1128,0,19.608,91.765,24,0,0,66,24.314,51.765,16.078,31.765,19.608,0,100,0.39216,31,8,35.7,33.4,12.128,0,0,6786,0,255
0,1128,0,19.608,91.765,24,0,0,66,24.314,51.765,16.078,31.765,19.216,0,100,0.39216,31,8,35.7,33.4,12.128,0,0,6786,0,255
0,1678.8,0,19.216,23.922,24,4.6875,0,23,24.314,51.765,16.078,31.765,19.216,0,100,0.39216,31,20,35.7,33.4,12.128,0,0,6786,0,255
2,1678.8,0,19.216,23.922,24,4.6875,0,23,24.314,51.765,16.078,31.765,19.216,0,100,0.39216,31,20,35.7,33.4,12.128,0,0,6786,0,255
2,1678.8,0,19.216,23.922,24,4.6875,0,23,24.314,51.765,16.078,31.765,19.216,0,100,0.39216,31,20,34.9,34,12.167,0,0,6786,0,255
2,1678.8,0,19.216,23.922,24,4.6875,0,23,24.314,50.98,16.078,31.765,18.824,0,100,0.39216,31,20,34.9,34,12.167,0,0,6786,0,255
2,1411.5,0,18.824,24.706,24,4.6875,0,25,24.314,50.98,16.078,31.765,18.824,0,100,0.39216,32,17,34.9,34,12.167,0,0,6786,0,255
6,1411.5,0,18.824,24.706,24,4.6875,0,25,24.314,50.98,16.078,31.765,18.824,0,100,0.39216,32,17,34.9,34,12.167,0,0,6786,0,255
6,1411.5,0,18.824,24.706,24,4.6875,0,25,24.314,50.98,16.078,31.765,18.824,0,100,0,32,17,43.7,34,14.257,0,0,6786,0,255
6,1411.5,0,18.824,24.706,24,4.6875,0,25,24.314,50.98,16.078,31.765,18.824,0,100,0,32,17,43.7,34,14.257,0,0,6786,0,255
8,1336.5,0,18.824,25.49,24,4.6875,0,25,24.314,50.98,16.078,31.765,18.824,0,100,0,33,12,43.7,34,14.257,0,0,6786,0,255
8,1336.5,0,18.824,25.49,24,4.6875,0,25,24.314,50.98,16.078,31.765,18.824,0,100,0,33,12,50,34,14.257,0,0,6786,0,255
8,1336.5,0,18.824,25.49,25,4.6875,0,25,24.314,51.373,16.078,31.765,18.824,0,100,0,33,12,50,34,14.277,0,0,6786,0,255
8,1295.2,0,18.824,26.667,25,4.6875,0,26,24.314,51.373,16.078,31.765,18.824,0,100,0,33,12,50,34,14.277,0,0,6786,0,255
10,1295.2,0,19.216,26.667,25,4.6875,0,26,24.314,51.373,16.078,31.765,18.824,0,100,0,33,6,50,34,14.277,0,0,6786,0,255
10,1295.2,0,19.216,26.667,25,4.6875,0,26,24.314,51.373,16.078,31.765,18.824,0,100,0,33,6,57,34,14.277,0,0,6786,0,255
10,1295.2,0,19.216,26.667,25,4.6875,0,26,24.314,51.373,16.078,31.765,19.216,0,100,0,33,6,57,34,14.277,0,0,6786,0,255
10,1296.8,0,19.216,28.627,25,4.6875,0,28,24.314,51.373,16.078,31.765,19.216,0,100,0,33,2,57,34,14.277,0,0,6786,0,255
11,1296.8,0,19.216,28.627,25,4.6875,0,28,24.314,51.373,16.078,31.765,19.216,0,100,0,33,2,57,34,14.277,0,0,6786,0,255
11,1296.8,0,19.216,28.627,25,4.6875,0,28,24.314,51.765,16.078,31.765,19.608,0,100,0.39216,33,2,60.8,34.1,14.296,0,0,6786,0,255
11,1296.8,0,19.216,28.627,25,4.6875,0,28,24.314,51.765,16.078,31.765,19.608,0,100,0.39216,33,2,60.8,34.1,14.296,0,0,6786,0,255
11,1310.8,0,19.608,29.804,25,4.6875,0,29,24.314,51.765,16.078,31.765,19.608,0,100,0.39216,33,1,60.8,34.1,14.296,0,0,6786,0,255
13,1310.8,0,19.608,29.804,25,4.6875,0,29,24.314,51.765,16.078,31.765,19.608,0,100,0.39216,33,1,60.8,34.1,14.296,0,0,6786,0,255
