ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
0,0,0,17.647,0,24,-1.5625,0,101,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.304,0,0,6345,0,236
0,0,0,17.647,0,24,-1.5625,0,101,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.304,0,0,6345,0,236
0,0,0,17.647,0,24,-1.5625,0,101,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.304,0,0,6345,0,236
0,0,0,17.647,0,24,-1.5625,0,101,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.304,0,0,6345,0,236
0,0,0,17.647,0,24,-1.5625,0,101,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.324,0,0,6345,0,236
0,212.5,0,17.647,82.745,24,-1.5625,0,75,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.324,0,0,6345,0,236
0,212.5,0,13.333,82.745,24,-1.5625,0,75,57.255,49.804,16.078,31.765,13.333,0,102,0,27,5,230.5,165.3,12.324,0,0,6345,0,236
0,212.5,0,13.333,82.745,24,-1.5625,0,75,57.255,52.157,16.078,31.765,13.333,0,101,0.78431,27,5,230.5,165.3,11.953,0,0,6345,0,236
0,212.5,0,13.333,82.745,24,-1.5625,0,75,57.255,52.157,16.078,31.765,19.608,0,101,0.78431,27,5,230.5,165.3,11.953,0,0,6345,0,236
0,1817.8,0,19.608,23.529,24,4.6875,0,23,57.255,52.157,16.078,31.765,19.608,0,101,0.78431,27,24,230.5,165.3,11.953,0,0,6345,0,236
